county_name,state_name,country_name
Lancaster County,Nebraska,USA
Morrill County,Nebraska,USA
Nance County,Nebraska,USA
Nuckolls County,Nebraska,USA
Otoe County,Nebraska,USA
Perkins County,Nebraska,USA
Red Willow County,Nebraska,USA
Richardson County,Nebraska,USA
Sarpy County,Nebraska,USA
Saunders County,Nebraska,USA
Scotts Bluff County,Nebraska,USA
Thayer County,Nebraska,USA
Churchill County,Nevada,USA
Elko County,Nevada,USA
Lander County,Nevada,USA
Nye County,Nevada,USA
Pershing County,Nevada,USA
Storey County,Nevada,USA
Washoe County,Nevada,USA
White Pine County,Nevada,USA
Belknap County,New Hampshire,USA
Cheshire County,New Hampshire,USA
Coos County,New Hampshire,USA
Grafton County,New Hampshire,USA
Merrimack County,New Hampshire,USA
Rockingham County,New Hampshire,USA
Strafford County,New Hampshire,USA
Atlantic County,New Jersey,USA
Bergen County,New Jersey,USA
Burlington County,New Jersey,USA
Cape May County,New Jersey,USA
Hudson County,New Jersey,USA
Hunterdon County,New Jersey,USA
Monmouth County,New Jersey,USA
Passaic County,New Jersey,USA
Bernalillo County,New Mexico,USA
Catron County,New Mexico,USA
Chaves County,New Mexico,USA
Cibola County,New Mexico,USA
Curry County,New Mexico,USA
Do?a Ana County,New Mexico,USA
Eddy County,New Mexico,USA
Guadalupe County,New Mexico,USA
Hidalgo County,New Mexico,USA
Lea County,New Mexico,USA
Los Alamos County,New Mexico,USA
Luna County,New Mexico,USA
McKinley County,New Mexico,USA
Mora County,New Mexico,USA
Rio Arriba County,New Mexico,USA
Sandoval County,New Mexico,USA
San Juan County,New Mexico,USA
Santa Fe County,New Mexico,USA
Socorro County,New Mexico,USA
Taos County,New Mexico,USA
Torrance County,New Mexico,USA
Valencia County,New Mexico,USA
Albany County,New York,USA
Broome County,New York,USA
Cattaraugus County,New York,USA
Cayuga County,New York,USA
Chemung County,New York,USA
Chenango County,New York,USA
Cortland County,New York,USA
Dutchess County,New York,USA
Erie County,New York,USA
Herkimer County,New York,USA
New York County,New York,USA
Niagara County,New York,USA
Onondaga County,New York,USA
Ontario County,New York,USA
Orleans County,New York,USA
Oswego County,New York,USA
Queens County,New York,USA
Rensselaer County,New York,USA
St. Lawrence County,New York,USA
Saratoga County,New York,USA
Schenectady County,New York,USA
Schoharie County,New York,USA
Schuyler County,New York,USA
Tioga County,New York,USA
Tompkins County,New York,USA
Westchester County,New York,USA
Wyoming County,New York,USA
Yates County,New York,USA
Alamance County,North Carolina,USA
Alleghany County,North Carolina,USA
Ashe County,North Carolina,USA
Avery County,North Carolina,USA
Beaufort County,North Carolina,USA
